Source,Target,Category
房间名称,방 이름,트랙/모드명
赛道名称,트랙 이름,트랙/모드명
房间人数,인원,트랙/모드명
准备,준비,트랙/모드명
准备完毕,준비 완료,트랙/모드명
取消准备,준비 취소,트랙/모드명
游戏正在准备中,게임 준비 중,트랙/모드명
游戏正在准备中...,게임 준비 중...,트랙/모드명
开始,시작,트랙/모드명
退出,나가기,트랙/모드명
未加密,비밀번호 없음,트랙/모드명
无限,무제한,트랙/모드명
房主,방장,트랙/모드명
房间设定,방 설정,트랙/모드명
房间设置,방 설정,트랙/모드명
选择赛道,트랙 선택,트랙/모드명
更改队伍,팀 변경,트랙/모드명
大家一起玩~!,다 같이 놀자~!,트랙/모드명
累计在线活动,누적 온라인 이벤트,트랙/모드명
前往验证,인증하러 가기,트랙/모드명
RP个人竞速赛,RP 개인 스피드전,트랙/모드명
比赛时间,경기 시간,트랙/모드명
最佳单圈,최고 랩타임,트랙/모드명
车手资料,라이더 정보,게임 UI 고정어
经验,경험치,게임 UI 고정어
自我介绍,자기소개,게임 UI 고정어
访问小屋,마이룸 방문,게임 UI 고정어
申请好友,친구 신청,게임 UI 고정어
申请情侣,커플 신청,게임 UI 고정어
VIP等级,VIP 등급,게임 UI 고정어
快速回复,빠른 답장,게임 UI 고정어
聊天设置,채팅 설정,게임 UI 고정어
查看行驶中聊天内容,주행 중 채팅 보기,게임 UI 고정어
查看房间内聊天内容,방 안 채팅 보기,게임 UI 고정어
输入快速回复的内容,빠른 답장 내용 입력,게임 UI 고정어
全体,전체,게임 UI 고정어
队伍,팀,게임 UI 고정어
俱乐部目录,클럽 목록,게임 UI 고정어
创建俱乐部,클럽 만들기,게임 UI 고정어
注册俱乐部目录,클럽 목록 등록,게임 UI 고정어
俱乐部名称,클럽 이름,게임 UI 고정어
俱乐部会长名,클럽장 이름,게임 UI 고정어
俱乐部等级,클럽 레벨,게임 UI 고정어
俱乐部会长,클럽장,게임 UI 고정어
俱乐部会员数,클럽원 수,게임 UI 고정어
俱乐部创建日,클럽 생성일,게임 UI 고정어
周活跃度,주간 활동도,게임 UI 고정어
俱乐部简介,클럽 소개,게임 UI 고정어
加入俱乐部,클럽 가입,게임 UI 고정어
我的俱乐部信息,내 클럽 정보,게임 UI 고정어
搜索,검색,게임 UI 고정어
确认,확인,게임 UI 고정어
取消,취소,게임 UI 고정어
充值,충전,아이템/차량 용어
输入兑换券,교환권 입력,아이템/차량 용어
精品道具全服记录,프리미엄 아이템 전체 기록,아이템/차량 용어
推荐,추천,아이템/차량 용어
新商品,신상품,아이템/차량 용어
热门商品,인기 상품,아이템/차량 용어
活动,이벤트,아이템/차량 용어
卡丁车,카트,아이템/차량 용어
角色,캐릭터,아이템/차량 용어
礼包,패키지,아이템/차량 용어
装备,장비,아이템/차량 용어
使用,사용,아이템/차량 용어
装饰,꾸미기,아이템/차량 용어
星标道具,즐겨찾기 아이템,아이템/차량 용어
锁定,잠금,아이템/차량 용어
预设,프리셋,아이템/차량 용어
使用中,사용 중,아이템/차량 용어
黄色染色剂,노란색 염색약,아이템/차량 용어
确定,확인,아이템/차량 용어
人气随机,인기랜덤,트랙/모드명
随机,랜덤,트랙/모드명
困难,어려움,트랙/모드명
森林 木桶,포레스트 통나무,트랙/모드명
森林 瀑布滑道,포레스트 폭포속으로,트랙/모드명
森林 蘑菇洞穴,포레스트 버섯동굴,트랙/모드명
森林 山谷,포레스트 골짜기,트랙/모드명
森林 奇石,포레스트 기암괴석,트랙/모드명
森林 游击场,포레스트 유격장,트랙/모드명
森林 熊猫乐园,포레스트 행복한 팬더마을,트랙/모드명
森林 藤蔓天桥,포레스트 오싹한 공중다리,트랙/모드명
森林 发夹,포레스트 지그재그,트랙/모드명
森林 哀歌绝壁,포레스트 통곡의 절벽,트랙/모드명
森林 崎岖下山道,포레스트 아찔한 다운힐,트랙/모드명
森林 牧羊场,포레스트 대관령,트랙/모드명
(反)森林 木桶,포레스트 리버스 통나무,트랙/모드명
(反)森林 奇石,포레스트 리버스 기암괴석,트랙/모드명
(反)森林 瀑布,포레스트 리버스 폭포속으로,트랙/모드명
(反)森林 熊猫乐园,포레스트 리버스 행복한 팬더마을,트랙/모드명
(反)森林 发夹,포레스트 리버스 지그재그,트랙/모드명
森林 瀑布,포레스트 폭포,트랙/모드명
森林 九曲木桥,포레스트 구불구불 나무다리,트랙/모드명
森林 瀑布险境,포레스트 아슬아슬 폭포,트랙/모드명
沙漠 地狱沙丘,사막 지옥의 모래구덩이,트랙/모드명
沙漠 古代君主之墓,사막 파라오의 안식처,트랙/모드명
沙漠 金字塔,사막 피라미드 탐험,트랙/모드명
沙漠 绿洲,사막 버려진 오아시스,트랙/모드명
沙漠 市场,사막 베거이 시장,트랙/모드명
沙漠 水库,사막 울렁울렁,트랙/모드명
沙漠 狮身人面像的秘密,사막 스핑크스의 수수께끼,트랙/모드명
沙漠 秘密水渠,사막 숨겨진 송수관,트랙/모드명
沙漠 战场II,사막 더스트 2,트랙/모드명
沙漠 旋转工地,사막 빙글빙글 공사장,트랙/모드명
沙漠 古老水渠,사막 오래된 송수관,트랙/모드명
沙漠 被遗忘的记忆,사막 잊혀진 모래의 기억,트랙/모드명
沙漠 恐龙遗迹,사막 놀라운 공룡유적지,트랙/모드명
(反)沙漠 水库,사막 [리버스] 사막 울렁울렁,트랙/모드명
(反)沙漠 旋转工地,사막 [리버스] 사막 빙글빙글 공사장,트랙/모드명
沙漠 流沙峡谷,사막 유사의 협곡,트랙/모드명
沙漠 巨大炼油厂,사막 거대 정유공장,트랙/모드명
城镇 钟楼,빌리지 시계탑,트랙/모드명
城镇 手指,빌리지 손가락,트랙/모드명
城镇 自由练习场,빌리지 톡톡연습장,트랙/모드명
城镇 环道,빌리지 붐힐터널,트랙/모드명
城镇 运河,빌리지 운하,트랙/모드명
城镇 水路,빌리지 수로,트랙/모드명
城镇 水坝上的对决,빌리지 댐위의 대결,트랙/모드명
城镇 喷泉广场,빌리지 돌아올수없는 지름길,트랙/모드명
城镇 高速公路,빌리지 고가의 질주,트랙/모드명
城镇 南山,빌리지 남산,트랙/모드명
城镇 万里长城赛道,빌리지 만리장성,트랙/모드명
繁荣都市,빌리지 붐힐드라이브,트랙/모드명
城镇 极限竞技场,빌리지 익스트림 경기장,트랙/모드명
城镇 命运之桥,빌리지 운명의다리,트랙/모드명
(反)城镇 钟楼,빌리지 리버스 시계탑,트랙/모드명
城镇 风车村铁路,빌리지 풍차마을 철길,트랙/모드명
城镇 交通高峰,빌리지 러시아워,트랙/모드명
城镇 破碎钟楼,빌리지 무너진 시계탑,트랙/모드명
城镇 破碎手指,빌리지 부서진 손가락,트랙/모드명
城镇 手指2,빌리지 손가락 2,트랙/모드명
城镇 公路,빌리지 공도,트랙/모드명
城镇 高架,빌리지 고가도로,트랙/모드명
城镇 高速公路2,빌리지 고가의 질주 2,트랙/모드명
(反)城镇 手指,빌리지 리버스 손가락,트랙/모드명
(反)城镇 运河,빌리지 리버스 운하,트랙/모드명
(反)城镇 钟楼运河,빌리지 리버스 시계탑 운하,트랙/모드명
(反)城镇 水路,빌리지 리버스 수로,트랙/모드명
(反)城镇 高速公路,빌리지 리버스 고가의 질주,트랙/모드명
(反)城镇 公路,빌리지 리버스 공도,트랙/모드명
冰河 冰峰裂谷,아이스 갈라진 빙산,트랙/모드명
冰河 企鹅小镇,아이스 펭귄타운,트랙/모드명
冰河 冰鲨墓地,아이스 상어의 무덤,트랙/모드명
冰河 冰雪企鹅岛,아이스 펭귄전사 눈동이 공격,트랙/모드명
冰河 冰水晶洞穴,아이스 투명동굴,트랙/모드명
冰河 极速,아이스 신나는 하프파이프,트랙/모드명
冰河 冬季训练场,아이스 짜릿한 동계 훈련장,트랙/모드명
冰河 冰川尽途,아이스 부서진 빙산,트랙/모드명
冰河 滑雪场,아이스 설산 다운힐,트랙/모드명
(反)冰河 冰峰裂谷,아이스 리버스 갈라진 빙산,트랙/모드명
(反)冰河 冰鲨墓地,아이스 리버스 상어의 무덤,트랙/모드명
(反)冰河 冰水晶洞穴,아이스 리버스 투명동굴,트랙/모드명
(反)冰河 极速,아이스 리버스 신나는 하프파이프,트랙/모드명
冰河 雪球险道,아이스 아슬아슬 눈덩이 길,트랙/모드명
冰封的制动装置,아이스 얼어붙은 제동장치,트랙/모드명
冰河 破碎雪原,아이스 부서진 설원,트랙/모드명
冰河 机场跳跃,아이스 공항 점프,트랙/모드명
冰河 恐怖滑道,아이스 공포의 슬라이드,트랙/모드명
冰河 高空跳跃,아이스 고공 점프,트랙/모드명
冰河 极限阿尔卑斯,아이스 익스트림 알프스,트랙/모드명
墓地 幽灵峡谷,공동묘지 유령의 계곡,트랙/모드명
墓地 恐怖之路,공동묘지 공포의 외길,트랙/모드명
墓地 神秘修道院,공동묘지 비밀의 수도원,트랙/모드명
墓地 幽灵鬼域,공동묘지 유령습격,트랙/모드명
墓地 骷髅祭坛,공동묘지 비밀의 해골제단,트랙/모드명
墓地 幽灵狂欢,공동묘지 마욍의 초대,트랙/모드명
墓地 骷髅手指,공동묘지 해골 손가락,트랙/모드명
墓地 骷髅探险,공동묘지 해골성 대탐험,트랙/모드명
绝望之地下墓穴,공동묘지 절망의 카타콤,트랙/모드명
墓地 幽暗峡谷,공동묘지 어둠의 협곡,트랙/모드명
(反)墓地 幽灵峡谷,공동묘지 리버스 유령의 계곡,트랙/모드명
矿山 宝石开采场,광산 보석채굴장,트랙/모드명
矿山 采矿区捷径,광산 채굴장 지름길,트랙/모드명
矿山 岩浆洞穴,광산 뽀글뽀글 용암굴,트랙/모드명
矿山 瀑布,광산 떨어지는 폭포수,트랙/모드명
矿山 熔岩小径,광산 무너지는 금광,트랙/모드명
矿山 狂奔的矿车,광산 롤러코스터 질주,트랙/모드명
矿山 曲折滑坡,광산 꼬불꼬불 다운힐,트랙/모드명
矿山 盘旋电车轨道,광산 아슬아슬 궤도 전차,트랙/모드명
矿山 冶炼厂,광산 위험한 제련소,트랙/모드명
矿山 斜坡捷径,광산 3개의 지름길,트랙/모드명
矿山 矿物运输车始发站,광산 광물 운송차 출발역,트랙/모드명
矿山 沸腾命运跳台,광산 끓어오르는 운명의 점프대,트랙/모드명
矿山支配者,광산 지배자,트랙/모드명
矿山 矿物传送带,광산 광물 컨베이어 벨트,트랙/모드명
太空 高速轨道,노르테유 익스프레스,트랙/모드명
太空 窒息隧道,노르테유 숨막히는 터널 탈주,트랙/모드명
太空 蜿蜒跑道,노르테유 스카이웨이,트랙/모드명
太空 宇宙飞船发射准备,노르테유 우주선 침투,트랙/모드명
太空 危险捷径,노르테유 위험한 지름길,트랙/모드명
太空 回旋走廊,노르테유 회전 복도,트랙/모드명
太空 宇宙船舱,노르테유 우주선 선실,트랙/모드명
太空 极限跳跃,노르테유 익스트림 점프,트랙/모드명
太空 喷射滑坡,노르테유 제트 다운힐,트랙/모드명
太空 基地,노르테유 기지,트랙/모드명
太空 跳跃峡谷,노르테유 점프 협곡,트랙/모드명
太空 军用机场,노르테유 군용 비행장,트랙/모드명
太空 惊恐高架,노르테유 아찔한 고가도로,트랙/모드명
(反)太空 高速轨道,노르테유 리버스 익스프레스,트랙/모드명
(反)太空 危险捷径,노르테유 리버스 위험한 지름길,트랙/모드명
(反)太空 回旋走廊,노르테유 리버스 회전 복도,트랙/모드명
(反)太空 宇宙船舱,노르테유 리버스 우주선 선실,트랙/모드명
(反)太空 极限跳跃,노르테유 리버스 익스트림 점프,트랙/모드명
(反)太空 喷射滑坡,노르테유 리버스 제트 다운힐,트랙/모드명
(反)太空 基地,노르테유 리버스 기지,트랙/모드명
工厂 机械战场,팩토리 브로디의 심술,트랙/모드명
工厂 巨型齿轮,팩토리 거대톱니의 위협,트랙/모드명
工厂 探险之路,팩토리 우당탕 대소동,트랙/모드명
工厂 神秘之门,팩토리 모험의 시작,트랙/모드명
工厂 加速器车间,팩토리 부스터 제작의 비밀,트랙/모드명
工厂 可疑的蒸汽装置,팩토리 수상한 증기 장치,트랙/모드명
工厂 危险储藏室,팩토리 핀저의 위험한 적재소,트랙/모드명
工厂 未完成的第五区,팩토리 미완성 5구역,트랙/모드명
工厂 陷阱车间,팩토리 부비트랩 공장 탐험,트랙/모드명
工厂 改装车间,팩토리 두개의 공장,트랙/모드명
海盗 藏宝营地,해적 위기일발 대탈출,트랙/모드명
海盗 惊魂走廊,해적 짜릿한 고공비행,트랙/모드명
海盗 眩晕码头,해적 어질어질 부둣가,트랙/모드명
海盗 暴风山寨,해적 폭풍 속의 질주,트랙/모드명
海盗 海盗船争夺战,해적선 보물 탈취,트랙/모드명
海盗 绝壁海湾,해적 로비 절벽의 전투,트랙/모드명
海盗 宝藏迷宫,해적 숨겨진 보물,트랙/모드명
海盗 峭壁瞭望塔,해적 가파른 감시탑,트랙/모드명
海盗 鲨鱼岛,해적 상어섬의 비밀,트랙/모드명
大海盗船长,해적 대선장,트랙/모드명
海盗 破裂海浪,해적 부서지는 파도,트랙/모드명
(反)海盗 藏宝营地,해적 리버스 위기일발 대탈출,트랙/모드명
(反)海盗 暴风山寨,해적 리버스 폭풍 속의 질주,트랙/모드명
(反)海盗 绝壁海湾,해적 리버스 로비 절벽의 전투,트랙/모드명
童话世界 青蛙之家,동화 목욕탕에 개굴개굴,트랙/모드명
童话世界 旋转木马,동화 프레티온 목마,트랙/모드명
童话世界 绿野迷踪,동화 카드 왕국의 미로,트랙/모드명
童话世界 刺藤怪物,동화 가시덩굴괴물의 등장,트랙/모드명
童话世界 彩虹之门,동화 이상한 나라의 문,트랙/모드명
童话世界 沉睡的森林巨人,동화 잠자는 숲속의 거인,트랙/모드명
童话世界 魔女城,동화 마녀의 성,트랙/모드명
童话世界 皮蛋和豆树,동화 다오와 콩나무,트랙/모드명
(反)童话世界 沉睡的森林巨人,동화 리버스 잠자는 숲속의 거인,트랙/모드명
月光之城 直角夜道,문힐시티 지피의 미완성 빌딩,트랙/모드명
月光之城 都市风情,문힐시티 도시의 두 얼굴,트랙/모드명
月光之城 狂飙隧道,문힐시티 터널 속 무법자,트랙/모드명
月光之城 小镇铁路,문힐시티 조심조심 기찻길,트랙/모드명
月光之城 逃脱地铁,문힐시티 덜컹덜컹 지하철 탈출,트랙/모드명
月光之城 华丽剧场街,문힐시티 폭우 속의 질주,트랙/모드명
月光之城 秘密通道,문힐시티 숨겨진 지하터널,트랙/모드명
月光之城 市厅广场,문힐시티 지피의 시청광장,트랙/모드명
月光之城 浮空要塞,문힐시티 공중요새,트랙/모드명
(反)月光之城 都市风情,문힐시티 리버스 도시의 두 얼굴,트랙/모드명
(反)月光之城 小镇铁路,문힐시티 리버스 조심조심 기찻길,트랙/모드명
(反)月光之城 逃脱地铁,문힐시티 리버스 덜컹덜컹 지하철 탈출,트랙/모드명
黄金文明 古老神殿,황금문명 황금신전을 찾아서,트랙/모드명
黄金文明 恐怖斜坡,황금문명 흔들리는 위협,트랙/모드명
黄金文明 愤怒黄金神,황금문명 고디우스의 분노,트랙/모드명
黄金文明 黄金熔炉,황금문명 전설의 황금용광로,트랙/모드명
黄金文明 神秘的黄金神鹰,황금문명 신비의 황금 콘도르,트랙/모드명
黄金文明 阿兹特克,황금문명 CSO 아즈텍,트랙/모드명
黄金文明 黄金坐标,황금문명 오르에트 황금 좌표,트랙/모드명
黄金文明 秘密机关的威胁,황금문명 비밀장치의 위협,트랙/모드명
黄金文明 守护神的试炼,황금문명 수호신의 시련,트랙/모드명
龙行华夏 龙之宫殿,차이나 북경 자금성,트랙/모드명
龙行华夏 灯光璀璨之都,차이나 상해 동방명주,트랙/모드명
龙行华夏 龙之都市,차이나 아이템 서안 병마용,트랙/모드명
龙行华夏 海纳百川之岛城,차이나 서안병마용,트랙/모드명
龙行华夏 奥林匹克公园,차이나 북경 스포츠 공원,트랙/모드명
龙行华夏 龙之竞技场,차이나 북경 경기장,트랙/모드명
龙行华夏 龙之冰灯祭,차이나 빙등축제,트랙/모드명
龙行华夏 暮色降临,차이나 골목길 대질주,트랙/모드명
龙行华夏 龙之遗迹2,차이나 서안병마용 2,트랙/모드명
龙行华夏 黄山赛道,차이나 황산,트랙/모드명
龙行华夏 日光城,차이나 라싸,트랙/모드명
龙行华夏 英雄圣祠,차이나 영웅의 사당,트랙/모드명
龙行华夏 龙之无尽路,차이나 용의 끝없는 길,트랙/모드명
龙行华夏 东方明珠之夜,차이나 동방명주의 밤,트랙/모드명
龙行华夏 龙之遗迹,차이나 용의 유적,트랙/모드명
龙行华夏 山明水秀之都,차이나 산수의 도시,트랙/모드명
龙行华夏 街头狂飙,차이나 거리의 질주,트랙/모드명
龙行华夏 武当山道之韵,차이나 무당산도의 운치,트랙/모드명
龙行华夏 天门山奇观之旅,차이나 천문산 절경 여행,트랙/모드명
龙行华夏 龙之运河,차이나 용의 운하,트랙/모드명
龙行华夏 海韵,차이나 바다의 선율,트랙/모드명
龙行华夏 龙之西湖,차이나 용의 서호,트랙/모드명
龙行华夏 龙之圣地,차이나 용의 성지,트랙/모드명
(反)龙行华夏 龙之宫殿,차이나 리버스 북경 자금성,트랙/모드명
(反)龙行华夏 龙之竞技场,차이나 리버스 북경 경기장,트랙/모드명
(反)龙行华夏 龙之冰灯祭,차이나 리버스 빙등축제,트랙/모드명
(反)龙行华夏 龙之无尽路,차이나 리버스 용의 끝없는 길,트랙/모드명
(反)龙行华夏 龙之遗迹,차이나 리버스 용의 유적,트랙/모드명
(反)龙行华夏 街头狂飙,차이나 리버스 거리의 질주,트랙/모드명
(反)龙行华夏 龙之遗迹2,차이나 리버스 서안병마용 2,트랙/모드명
(反)龙行华夏 龙之运河,차이나 리버스 용의 운하,트랙/모드명
(反)龙行华夏 日光城,차이나 리버스 라싸,트랙/모드명
大城堡 泡沫厨房,대저택 버블버블 키친,트랙/모드명
大城堡 路易的玩具屋,대저택 루이의 장난감 천국,트랙/모드명
大城堡 梦幻浴池,대저택 럭셔리 거대욕조,트랙/모드명
大城堡 隐秘房间,대저택 루이의 숨겨진 비밀 방,트랙/모드명
大城堡 路易的书房,대저택 루이의 서재,트랙/모드명
大城堡 路易的庭院,대저택 루이의 정원,트랙/모드명
大城堡 秘密地下室,대저택 은밀한 지하실,트랙/모드명
大城堡 悠闲的下午,대저택 오후의 휴일,트랙/모드명
精灵 精灵之都,님프 요정 마을의 초대,트랙/모드명
精灵 木桶捷径,님프 달팽이의 통나무 지름길,트랙/모드명
精灵 范塔利尼火山,님프 판타리니 화산,트랙/모드명
精灵 月光泉,님프 달빛 샘물터,트랙/모드명
精灵 海底神殿,님프 바다 신전의 비밀,트랙/모드명
精灵 木桶惊险跳跃,님프 통나무 아슬아슬 점프,트랙/모드명
机械 烽火战场,메카닉 적의 포화속으로,트랙/모드명
机械 遗忘孤城,메카닉 잊혀진 도시의 중심부,트랙/모드명
WKC 狮城狂飙,WKC 싱가폴 서킷,트랙/모드명
WKC 沙场拉力,WKC 투어링 랠리,트랙/모드명
WKC 丹娜美拉码头,WKC 싱가폴 마리나 서킷,트랙/모드명
WKC 申城环道,WKC 상해 서킷,트랙/모드명
WKC 灵岩环道,WKC 코리아 서킷,트랙/모드명
WKC 英特拉格斯,WKC 브라질 서킷,트랙/모드명
WKC 阿尔伯特公园,WKC 호주서킷,트랙/모드명
WKC 美洲赛道,WKC 아메리카 서킷,트랙/모드명
WKC 力宝环道,WKC 리포 서킷,트랙/모드명
WKC 铃鹿赛道,WKC 스즈카 서킷,트랙/모드명
未来工厂 能量生产线,브로디 거대한 에너지 생산기,트랙/모드명
未来工厂 能量之源泉,브로디 에너지의 원천,트랙/모드명
未来工厂 神秘研究所,브로디 비밀의 연구소,트랙/모드명
未来工厂 危险工厂,브로디 프레스공장,트랙/모드명
跑跑游乐场 360塔楼,놀이동산 360 타워,트랙/모드명
滨海大道 水上机场,비치 해변 수상비행장,트랙/모드명
滨海大道 夏日度假,비치 해변 신나는 여름 휴가,트랙/모드명
滨海大道 风景,비치 해변 드라이브,트랙/모드명
滨海大道 火车,비치 해변 기차,트랙/모드명
滨海大道 古老火车站,비치 해변 간이역,트랙/모드명
滨海大道 赛道9,비치 해변 트랙 9,트랙/모드명
1920 奇怪的蒸汽工厂,1920 수상한 증기 공장,트랙/모드명
1920 古老火车站,1920 기차역 질주,트랙/모드명
1920 惊险飞机场,1920 아슬아슬 비행장,트랙/모드명
侏罗纪 进击的恐龙村,쥐라기 디노 마을의 초대,트랙/모드명
侏罗纪 险峻的火山,쥐라기 아슬아슬 화산 점프,트랙/모드명
侏罗纪 恐龙岛大冒险,쥐라기 공룡성 대모험,트랙/모드명
侏罗纪 恐龙决斗场,쥐라기 공룡 결투장,트랙/모드명
侏罗纪 恐龙坟墓,쥐라기 공룡 무덤,트랙/모드명
环游世界 巴黎风情,월드 파리 드라이브,트랙/모드명
环游世界 伦敦之夜,월드 런던 나이트,트랙/모드명
环游世界 希腊假日,월드 그리스의 휴일,트랙/모드명
环游世界 巴西体育场,월드 브라질 스포츠 스타디움,트랙/모드명
环游世界 纽约狂飙,월드 뉴욕 대질주,트랙/모드명
环游世界 迪拜富人区,월드 두바이 다운타운,트랙/모드명
环游世界 里约滑坡,월드 리오 다운힐,트랙/모드명
环游世界 意大利之旅,월드 이탈리아 여행,트랙/모드명
环游世界 环球赛道,월드 더 월드,트랙/모드명
环游世界 巴黎铁塔,월드 파리 에펠탑 다이브,트랙/모드명
环游世界 意大利比萨斜塔,월드 이탈리아 피사의 사탑,트랙/모드명
像素世界 像素村镇,네모 네모난 마을,트랙/모드명
像素世界 麦迪娅隐匿所,네모 메디아 은신처,트랙/모드명
像素世界 咕咕鸟巢,네모 구구 둥지,트랙/모드명
像素世界 圣诞秘密空间,네모 산타의 비밀공간,트랙/모드명
像素世界 玩具工厂,네모 장난감 선물공장,트랙/모드명
像素世界 钢铁熔炉,네모 강철바위 용광로,트랙/모드명
刀剑 月下门,도검 월하문,트랙/모드명
刀剑 龙之路,도검 용의 길,트랙/모드명
刀剑 云中峡谷,도검 구름의 협곡,트랙/모드명
刀剑 野外修炼馆,도검 야외수련관,트랙/모드명
刀剑 双龙,도검 두마리의 용,트랙/모드명
神之国度 不灭之火,신화 꺼지지 않는 불꽃,트랙/모드명
神之国度 光之道,신화 빛의 길,트랙/모드명
神之国度 挑战之殿,신화 도전의 전당,트랙/모드명
神之国度 奥丁宫殿,신화 오딘의 궁전,트랙/모드명
神之国度 诸神世界,신화 신들의 세계,트랙/모드명
神之国度 次元之门,신화 차원의 관문,트랙/모드명
深渊之都 海陆隧道,어비스 지상으로 가는 길,트랙/모드명
深渊之都 海洋之主,어비스 바다의 인도자,트랙/모드명
深渊之都 深海之路,어비스 바다 속으로,트랙/모드명
深渊之都 地平线,어비스 스카이라인,트랙/모드명
深渊之都 海边密道,어비스 숨겨진 바닷길,트랙/모드명
深渊之都 漩涡,어비스 바다 소용돌이,트랙/모드명
深渊之都 命运岔道,어비스 운명의 갈림길,트랙/모드명
深渊之都 海底竞技场,어비스 배틀 콜로세움,트랙/모드명
(反)深渊之都 海边密道,어비스 [리버스] 숨겨진 바닷길,트랙/모드명
亚瑟传说 骑士训练场,카멜롯 기사단 훈련장,트랙/모드명
亚瑟传说 卡美洛码头,카멜롯 바다 하역장,트랙/모드명
亚瑟传说 电车追击战,카멜롯 전차 추격전,트랙/모드명
亚瑟传说 城外巡逻路,카멜롯 외곽 순찰로,트랙/모드명
亚瑟传说 潘德拉贡之城,카멜롯 팬드래건 캐슬,트랙/모드명
亚瑟传说 巡逻路逆行,카멜롯 외곽 순찰로 역주행,트랙/모드명
奥林匹斯 抉择之门,올림포스 선택의 문,트랙/모드명
奥林匹斯 冥界入口,올림포스 스틱스 익스프레스,트랙/모드명
奥林匹斯 女神圣殿,올림포스 여신의 성소,트랙/모드명
奥林匹斯 神殿,올림포스 하늘의 신전,트랙/모드명
奥林匹斯 宙斯城,올림포스 제우스 시티,트랙/모드명
洛奇 迪尔科内尔,마비노기 티르 코네일,트랙/모드명
